gpu,in_rows,in_cols,out_rows,out_cols,valid_px,cpu_threads,interp_cpu_ms,interp_cpu_med_ms,interp_cpu_orig_ms,interp_cpu_orig_med_ms,interp_gpu_ms,interp_gpu_med_ms,flatten_cpu_ms,flatten_cpu_med_ms,flatten64_gpu_ms,flatten64_gpu_med_ms,flatten32_gpu_ms,h2d_ms,h2d_bytes,d2h_ms,d2h_bytes,e2e_gpu_ms,interp_max_rel,flat64_max_phase,fp32_unwrapped_max_rad,fp32_unwrapped_mean_rad,ws_bbox_mib,ws_rowspan_mib
NVIDIA GeForce RTX 5080,1500,24000,1046,645,652698,16,46.3625,61.1108,55.9474,62.8496,0.4794,0.4810,5.1357,5.6205,0.0921,0.0942,0.0184,46.6303,299319008,1.0263,5397360,48.2281,7.7076e-05,1.9527e-07,2.5557e+01,1.0059e+01,216.21,221.92
NVIDIA GeForce RTX 5080,1500,24000,2092,1290,2611656,16,77.8716,83.7824,80.4409,81.7120,1.8851,1.8881,15.2073,17.0418,0.3584,0.3604,0.0635,50.7765,331703168,3.9189,21589440,56.9389,1.6796e-04,1.9238e-07,2.5593e+01,1.0061e+01,216.21,221.92
